,达人,粉丝数,销售额,销售量,商品数,观看人次,人次峰值,地区
274,酒仙网旗舰店,807246,163789.84,727,36,71340,1090,北京市
275,幽炫女装,753733,163427.6,1241,29,72677,1025,北京市
276,酒仙网旗舰店,807246,163327.0,853,33,48667,624,北京市
277,美臀黄建,564572,162444.07,1996,31,176203,9567,北京市
278,大力智能学习灯直播&学习机,491887,162348.0,185,5,18792,78,北京市
279,五个女博士,15327,162025.6,248,11,72360,227,北京市
280,团油加油券,160004,161705.5,820,11,28125,605,北京市
281,桃姐电子产品,84962,161664.8,91,27,27920,130,北京市
282,北大花花老师,1458396,161349.7,756,4,56718,1214,北京市
283,英语雪梨老师(早8:00直播),6796780,161012.0,444,3,54619,1508,北京市
284,窦昕@豆神天蝎星,1179477,160253.9,226,14,20371,233,北京市
285,TCH潮牌,167557,160157.0,162,92,23184,121,北京市
286,飞越文玩《高端回血》,30347,159589.0,179,206,30716,200,北京市
287,美臀黄建,564572,159271.27,845,33,150427,10632,北京市
288,维维俏生活,332591,159073.59,314,54,26970,421,北京市
289,ARSIS官方旗舰店,146014,158790.75,715,58,39592,80,北京市
290,朝奉柏香·辉子,52987,158629.75,907,88,37124,654,北京市
291,菩提花开,111400,158296.6,2294,95,84871,1594,北京市
292,红布林沐子（17:00开播）,49903,157020.95,126,145,21147,150,北京市
293,yy的小喜欢,62286,155981.0,355,35,42488,693,北京市
294,酒仙网旗舰店,807246,155738.41,827,40,93667,978,北京市
295,交个朋友潮流女装,203670,155282.05,1559,42,109350,1593,北京市
296,水井坊官方旗舰店,23557,154802.0,135,46,25360,163,北京市
297,Umbro茵宝,82598,154285.0,1291,100,78044,306,北京市
298,交个朋友潮流女装,203670,153913.8,2142,38,126170,1920,北京市
299,爱慕官方旗舰店,541936,152588.32,648,34,34724,184,北京市
300,窦昕@豆神天蝎星,1179477,151937.44,291,15,28020,397,北京市
301,猜礼物,644161,151832.9,156,78,8671,192,北京市
302,FanBeautySecret,50805,149953.6,424,29,18514,40,北京市
303,联合利华官方旗舰店,229320,149656.94,1341,13,48075,68,北京市
304,联合利华官方旗舰店,229320,149527.45,1346,13,44287,62,北京市
305,中茶官方旗舰店,385667,149057.19,210,43,51223,94,北京市
306,荣耀全场景直播间,20184,148912.03,56,45,27634,56,北京市
307,韩景枫51KING,1727633,148665.1,4203,31,519000,16838,北京市
308,至家HOMMEY种草官,67942,148271.86,2785,82,75985,1687,北京市
309,小仙炖鲜炖燕窝,275165,148157.32,119,14,11424,25,北京市
310,姿美堂旗舰店,223158,147630.0,370,7,19277,124,北京市
311,爱慕官方旗舰店,541936,147500.13,619,34,32502,191,北京市
312,申怡读书,2931139,146923.0,257,9,40757,889,北京市
313,菩提花开,111400,146589.0,744,76,81165,1549,北京市
314,植物医生美妆旗舰店,59825,146581.0,749,24,36567,167,北京市
315,大鑫文玩回血,43852,145343.0,148,186,63756,1037,北京市
316,伟粒大码服装工作室,20005,145192.67,372,112,37877,845,北京市
317,暇步士儿童服饰旗舰店,32336,145072.28,1287,100,36416,149,北京市
318,翼眠品牌直营（直播间专享福利）,191803,144753.6,354,16,21883,46,北京市
319,维维俏生活,332591,144665.21,325,48,24037,443,北京市
320,北京海亮（超级百货）,726968,143086.41,3973,59,38842,1476,北京市
321,爱穿搭的伙夫,137941,142994.41,1078,38,33387,380,北京市
322,北大花花老师,1458396,141647.9,626,4,51310,1124,北京市
323,窦昕@豆神天蝎星,1179477,141157.79,285,14,17691,241,北京市
324,参小妹心选,318572,140872.0,180,7,17325,60,北京市
325,窦昕@豆神天蝎星,1179477,140537.62,221,11,17401,157,北京市
326,爱慕官方旗舰店,541936,139720.0,663,27,36672,137,北京市
327,Redmi红米直播间（每天8点开播）,98997,139650.56,194,93,20802,275,北京市
328,大力智能学习灯直播&学习机,491887,139622.0,153,6,19686,53,北京市
329,心情花园（从210到102),300928,139583.57,2533,87,222740,2536,北京市
330,隆娱文化,228004,139242.3,3857,8,162382,10393,北京市
331,爱慕官方旗舰店,541936,138566.52,627,37,30343,157,北京市
332,心相印旗舰店,140597,138295.5,3148,22,153828,245,北京市
333,星辰出品,14638,137634.28,1179,166,55100,732,北京市
334,伟粒大码服装工作室,20005,137283.0,454,108,34876,756,北京市
335,东方喝不败,316441,136215.8,113,22,10213,158,北京市
336,清华欢哥父母课堂-早7点直播,676362,136166.6,52,4,8834,542,北京市
337,修芝堂旗舰店,80779,135841.6,357,6,10183,86,北京市
338,演员洪冰瑶（每日19:14直播）,329051,135741.0,599,15,45517,2157,北京市
339,Redmi红米直播间（每天8点开播）,98997,135235.69,84,93,40960,201,北京市
340,yy的小喜欢,62286,134685.0,354,32,34701,491,北京市
341,桂堂东品牌假发,704208,134622.82,196,15,33661,215,北京市
342,荣耀全场景直播间,20184,134211.79,53,46,26560,37,北京市
343,石头科技,268031,133966.0,34,4,9657,34,北京市
344,五个女博士,15327,132710.0,181,8,11781,97,北京市
345,红布林包多多,18560,132274.0,105,103,58652,1386,北京市
346,桃姐电子产品,84962,131922.9,46,33,35987,167,北京市
347,交个朋友潮流女装,203670,131202.5,1418,38,81745,1667,北京市
348,艺发画院（北京）,101837,130979.0,21,35,28930,671,北京市
349,姿美堂官方旗舰店,74057,130950.0,318,8,16565,124,北京市
350,胖虎佳姐天后团-周一至周四19点直播,79498,130806.0,23,66,5521,156,北京市
351,北京海亮（超级百货）,726968,130756.29,3801,54,35743,639,北京市
352,陶然reset,1176983,130407.0,304,15,10381,502,北京市
353,团油加油券,160004,130121.9,703,11,31698,488,北京市
354,美的空调电器旗舰店,18228,129889.93,221,51,6938,123,北京市
355,伟粒大码服装工作室,20005,129718.0,363,108,60330,1051,北京市
356,爱跑步的李老师,991470,129714.05,1399,32,59445,698,北京市
357,歌德老酒行直播间,384109,129650.2,256,107,48585,444,北京市
358,红布林沐子（17:00开播）,49903,128883.37,101,172,18940,209,北京市
359,翼眠品牌直营（直播间专享福利）,191803,128725.0,276,16,17165,50,北京市
360,启承严选（文玩配饰）,4035,128469.1,122,161,17515,172,北京市
361,姿美堂官方旗舰店,74057,128202.0,298,9,15726,140,北京市
362,学魁图书,915044,128032.43,441,4,45192,132,北京市
363,胖虎佳姐天后团-周一至周四19点直播,79498,127893.0,13,75,4672,134,北京市
364,启承严选（文玩配饰）,4035,127501.12,159,155,15180,178,北京市
365,少庄主今天醒酒,1479539,127264.75,372,61,75560,884,北京市
366,水井坊官方旗舰店,23557,126859.44,253,20,22596,139,北京市
367,桃姐电子产品,84962,126753.8,39,27,33161,236,北京市
368,伟粒大码服装工作室,20005,126580.92,375,90,32403,841,北京市
